,Everton,Sheffield United,Leicester City,Chelsea,Liverpool,Southampton,Norwich City,Burnley,Manchester United,Crystal Palace,Wolverhampton Wanderers,West Ham United,Tottenham Hotspur,Manchester City,Arsenal,AFC Bournemouth,Brighton & Hove Albion,Watford,Newcastle United,Aston Villa
112,Fabian Delph,David McGoldrick,Hamza Choudhury,Tammy Abraham,James Milner,Angus Gunn,Josip Drmić,Joe Hart,Scott McTominay,James McArthur,Pedro Neto,Jarrod Bowen,Serge Aurier,João Cancelo,Sead Kolašinac,Chris Mepham,Yves Bissouma,Craig Dawson,Jetro WillemsL,Douglas Luiz
113,England,Republic of Ireland,England,England,England,England,Switzerland,England,Scotland,Scotland,Portugal,England,Ivory Coast,Portugal,Bosnia & Herzegovina,Wales,Mali,England,Netherlands,Brazil
114,77,73,74,79,81,74,73,75,79,76,71,76,79,82,77,74,74,75,76,74
115,77,73,80,86,81,79,73,75,86,76,84,83,80,86,80,82,79,75,79,87
116,30,32,22,22,34,24,28,33,23,32,20,23,27,26,27,22,24,30,26,22
117,3,1,2,1,3,1,2,1,2,1,3,1,2,1,2,1,2,1,3,2
118,6,2,11,108,9,6,0,10,33,6,12,14,23,45,9,2,2,0,6,32
119,2,4,2,4,2,0,4,0,2,2,3,3,1,1,1,1,2,1,1,2
120,Morgan Schneiderlin,Luke Freeman,Kelechi Iheanacho,Ruben Loftus-Cheek,Alex Oxlade-Chamberlain,Che Adams,Mario Vrančić,Josh Brownhill,Jesse Lingard,Joel Ward,Morgan Gibbs-White,Arthur Masuaku,Moussa Sissoko,John Stones,Rob Holding,Dan Gosling,Bernardo,Andre Gray,Paul Dummett,Borja Bastón
121,France,England,Nigeria,England,England,England,Bosnia & Herzegovina,England,England,England,England,DR Congo,France,England,England,England,Brazil,England,Wales,Spain
122,76,73,74,79,80,73,73,73,78,75,71,76,79,81,76,74,74,75,76,74
123,76,73,80,85,83,80,73,79,78,75,84,78,79,84,83,74,78,75,77,74
124,30,28,23,24,27,24,31,24,27,30,20,26,31,26,24,30,25,29,28,28
125,2,2,2,2,2,1,3,2,2,1,2,2,3,1,1,1,2,1,2,1
126,6,2,16,18,22,9,0,0,97,3,15,5,45,29,21,1,0,6,5,5
127,2,3,4,2,2,4,2,2,2,1,2,1,2,1,1,2,1,4,1,4
128,Theo Walcott,Billy Sharp,Demarai Gray,Michy Batshuayi,Dejan Lovren,Shane Long,Ben Godfrey,Ben Gibson,Odion IghaloL,Wayne Hennessey,John Ruddy,Aaron Cresswell,Eric Dier,Benjamin Mendy,Pablo Marí,Andrew Surman,José Izquierdo,Danny Welbeck,DeAndre Yedlin,Conor Hourihane
129,England,England,England,Belgium,Croatia,Republic of Ireland,England,England,Nigeria,Wales,England,England,England,France,Spain,England,Colombia,England,United States,Republic of Ireland
130,76,73,74,79,80,73,72,73,78,75,70,76,78,80,76,74,74,75,75,74
131,76,73,78,82,80,73,83,76,78,75,70,76,82,85,81,74,74,75,78,74
132,31,34,24,26,31,33,22,27,31,33,33,30,26,26,27,34,28,29,27,29
133,1,1,3,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2
134,20,6,8,20,5,6,7,1,15,2,1,3,12,18,12,1,2,7,9,10
135,3,4,3,4,1,4,1,1,4,0,0,1,2,1,1,2,3,4,1,2
136,Moise Kean,Ben Osborn,Danny Ward,Ross Barkley,Divock Origi,Kevin DansoL,Sam Byram,Matěj Vydra,Daniel James,Jeffrey Schlupp,Leonardo Campana,Mark Noble,Paulo Gazzaniga,Nicolás Otamendi,Calum Chambers,Simon Francis,Alireza Jahanbakhsh,Jose Holebas,Manquillo,Jota
137,Italy,England,Wales,England,Belgium,Austria,England,Czech Republic,Wales,Ghana,Ecuador,England,Argentina,Argentina,England,England,Iran,Greece,Spain,Spain
138,75,72,74,79,78,71,72,73,77,74,66,76,77,80,76,74,74,75,75,73
139,85,77,75,82,83,80,75,73,83,74,76,76,80,80,81,74,74,75,78,73
140,20,26,27,26,25,21,26,28,22,27,20,33,28,32,25,35,27,36,26,29
141,1,3,1,2,2,1,2,1,2,3,1,2,1,1,3,2,3,1,3,2
142,53,0,2,21,45,3,5,1,93,4,3,4,11,28,5,1,4,1,10,3
143,4,1,0,2,4,1,1,2,3,3,4,2,0,1,1,1,3,1,1,3
144,Tom Davies,Muhamed BešićL,Wes Morgan,Emerson,Adam Lallana,Yan Valery,Marco Stiepermann,Kevin Long,Phil Jones,Scott Dann,Bright Enobakhare,Ryan Fredericks,Juan Foyth,Oleksandr Zinchenko,Ainsley Maitland-Niles,Junior Stanislas,Dan Burn,Craig Cathcart,Dwight Gayle,Ørjan Nyland
145,England,Bosnia & Herzegovina,Jamaica,Italy,England,France,Germany,Republic of Ireland,England,England,Nigeria,England,Argentina,Ukraine,England,England,England,Northern Ireland,England,Norway
146,75,72,74,78,78,71,72,73,77,74,66,75,75,79,75,73,74,75,75,72
147,81,73,74,82,78,82,72,73,77,74,74,76,85,85,83,73,75,75,75,72
148,22,27,36,26,32,21,29,30,28,33,22,27,22,23,23,30,28,31,29,29
149,2,1,1,2,1,2,1,1,1,1,1,1,2,1,3,3,2,1,2,1
150,30,8,6,29,7,3,0,0,13,1,3,10,23,57,24,3,0,2,5,1
151,2,2,1,1,2,1,2,1,1,1,2,1,1,1,1,3,1,1,4,0
152,Oumar Niasse,Jack Robinson,Ryan BennettL,Fikayo Tomori,Takumi Minamino,Michael Obafemi,Grant Hanley,Erik Pieters,Andreas Pereira,Christian Benteke,Max Kilman,Darren Randolph,Ryan Sessegnon,Phil Foden,Emiliano Martínez,Jack Stacey,Ezequiel Schelotto,Gomes,Matt Ritchie,Ezri Konsa
153,Senegal,England,England,England,Japan,Republic of Ireland,Scotland,Netherlands,Brazil,Belgium,England,Republic of Ireland,England,England,Argentina,England,Italy,Brazil,Scotland,England
154,72,70,73,77,77,67,71,73,76,73,65,75,75,77,75,72,72,75,75,71
155,72,71,73,86,80,81,71,73,80,73,78,75,86,89,78,77,72,75,75,83
156,30,27,30,22,25,20,28,32,24,29,23,33,20,20,28,24,31,39,30,22
157,1,2,1,1,3,1,1,1,2,1,1,1,3,2,1,1,2,1,2,1
158,7,0,0,45,34,8,0,0,20,6,5,4,30,105,48,0,0,0,2,4
159,4,1,1,1,3,4,1,1,2,4,1,0,3,2,0,1,1,0,1,1
