,home_team,hp1,hp2,hp3,hp4,hp5,hp6,hp7,hp8,hp9,hp10,hp11,away_team,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,home_score,away_score,diff_score,game_results,season
2222,Aston Villa,Brad Friedel,Kyle Walker,Richard Dunne,Luke Young,James Collins,Stiliyan Petrov,Ashley Young,Nigel Reo-Coker,Stewart Downing,Emile Heskey,Darren Bent,Stoke City,Asmir Begovic,Robert Huth,Andy Wilkinson,Marc Wilson,Ryan Shawcross,Jermaine Pennant,Matthew Etherington,Glenn Whelan,Rory Delap,Kenwyne Jones,Jonathan Walters,1,1,0,0,10
2223,Blackpool,Matthew Gilks,Ian Evatt,Alex Baptiste,Neal Eardley,Stephen Crainey,Charlie Adam,Matt Phillips,David Vaughan,Keith Southern,DJ Campbell,Gary Taylor-Fletcher,Newcastle United,Tim Krul,Fabricio Coloccini,Danny Simpson,Mike Williamson,José Enrique,Kevin Nolan,Joey Barton,Jonás Gutiérrez,Cheick Tioté,Peter Løvenkrands,Shola Ameobi,1,1,0,0,10
2224,Chelsea,Petr Cech,David Luiz,Ashley Cole,John Terry,Branislav Ivanovic,John Obi Mikel,Florent Malouda,Michael Essien,Frank Lampard,Salomon Kalou,Didier Drogba,West Ham United,Robert Green,Lars Jacobsen,Wayne Bridge,Danny Gabbidon,Manuel da Costa,Jonathan Spector,Mark Noble,Thomas Hitzlsperger,Freddie Sears,Demba Ba,Carlton Cole,3,0,3,1,10
2225,Liverpool,Pepe Reina,Jamie Carragher,Jack Robinson,Martin Skrtel,Jon Flanagan,Lucas Leiva,Maxi Rodríguez,Jay Spearing,Raul Meireles,Dirk Kuyt,Luis Suárez,Birmingham City,Ben Foster,Liam Ridgewell,Roger Johnson,Stephen Carr,Martin Jiranek,Lee Bowyer,Sebastian Larsson,Aliaksandr Hleb,Keith Fahey,Craig Gardner,Cameron Jerome,5,0,5,1,10
2226,Manchester United,Edwin van der Sar,Rio Ferdinand,John O'Shea,Jonny Evans,Fabio,Nani,Anderson,Darron Gibson,Luis Antonio Valencia,Chicharito,Wayne Rooney,Everton,Tim Howard,Leighton Baines,Phil Jagielka,Sylvain Distin,Tony Hibbert,Séamus Coleman,Leon Osman,Phil Neville,Diniyar Bilyaletdinov,Jack Rodwell,Jermaine Beckford,1,0,1,1,10
2227,Sunderland,Simon Mignolet,Michael Turner,Phil Bardsley,Nedum Onuoha,Lee Cattermole,Jordan Henderson,Ahmed El Mohamady,Jack Colback,Stéphane Sessegnon,Asamoah Gyan,Danny Welbeck,Wigan Athletic,Ali Al Habsi,Emmerson Boyce,Antolín Alcaraz,Steve Gohouri,Gary Caldwell,Charles N'Zogbia,Ben Watson,James McCarthy,Tom Cleverley,Mohamed Diamé,Hugo Rodallega,4,2,2,1,10
2228,Tottenham Hotspur,Heurelho Gomes,Michael Dawson,Younes Kaboul,Benoit Assou-Ekotto,William Gallas,Gareth Bale,Rafael van der Vaart,Tom Huddlestone,Luka Modric,Roman Pavlyuchenko,Jermain Defoe,West Bromwich Albion,Scott Carson,Nicky Shorey,Abdoulaye Méité,Jonas Olsson,Chris Brunt,Jerome Thomas,Steven Reid,Youssouf Mulumbu,Paul Scharner,Carlos Vela,Peter Odemwingie,2,2,0,0,10
2229,Wolverhampton Wanderers,Wayne Hennessey,Richard Stearman,Christophe Berra,Jody Craddock,Nenad Milijas,Karl Henry,Jamie O'Hara,Stephen Ward,Matthew Jarvis,Adlène Guédioura,Steven Fletcher,Fulham,Mark Schwarzer,Aaron Hughes,Brede Hangeland,Carlos Salcido,Chris Baird,Simon Davies,Steve Sidwell,Danny Murphy,Clint Dempsey,Eidur Gudjohnsen,Mousa Dembélé,1,1,0,0,10
2230,Bolton Wanderers,Jussi Jääskeläinen,Grétar Steinsson,Zat Knight,Gary Cahill,Paul Robinson,Matthew Taylor,Fabrice Muamba,Lee Chung-Yong,Kevin Davies,Johan Elmander,Daniel Sturridge,Arsenal,Wojciech Szczesny,Johan Djourou,Bacary Sagna,Laurent Koscielny,Gaël Clichy,Alexandre Song,Samir Nasri,Cesc Fàbregas,Jack Wilshere,Theo Walcott,Robin van Persie,2,1,1,1,10
2231,Blackburn Rovers,Paul Robinson,Míchel Salgado,Phil Jones,Martin Olsson,Christopher Samba,Gaël Givet,David Dunn,Brett Emerton,Jermaine Jones,Benjani,Jason Roberts,Manchester City,Joe Hart,Joleon Lescott,Pablo Zabaleta,Vincent Kompany,Aleksandar Kolarov,Adam Johnson,David Silva,Gareth Barry,Nigel de Jong,Yaya Touré,Mario Balotelli,0,1,-1,2,10
2232,Stoke City,Asmir Begovic,Robert Huth,Andy Wilkinson,Marc Wilson,Ryan Shawcross,Matthew Etherington,Glenn Whelan,Rory Delap,Jermaine Pennant,Kenwyne Jones,Jonathan Walters,Wolverhampton Wanderers,Wayne Hennessey,Richard Stearman,Christophe Berra,Jody Craddock,Michael Mancienne,Karl Henry,Jamie O'Hara,Stephen Ward,Michael Kightly,Matthew Jarvis,Steven Fletcher,1,1,0,0,10
2233,Fulham,Mark Schwarzer,Aaron Hughes,Brede Hangeland,Carlos Salcido,Chris Baird,Simon Davies,Clint Dempsey,Steve Sidwell,Danny Murphy,Eidur Gudjohnsen,Mousa Dembélé,Bolton Wanderers,Jussi Jääskeläinen,Grétar Steinsson,Zat Knight,Gary Cahill,Paul Robinson,Tamir Cohen,Matthew Taylor,Lee Chung-Yong,Fabrice Muamba,Johan Elmander,Kevin Davies,1,1,0,0,10
2234,Blackburn Rovers,Paul Robinson,Phil Jones,Martin Olsson,Míchel Salgado,Gaël Givet,Christopher Samba,Jermaine Jones,Brett Emerton,Steven Nzonzi,Benjani,Jason Roberts,Bolton Wanderers,Adam Bogdan,David Wheater,Zat Knight,Gary Cahill,Paul Robinson,Matthew Taylor,Ricardo Gardner,Tamir Cohen,Kevin Davies,Johan Elmander,Rodrigo Moreno,1,0,1,1,10
2235,Blackpool,Matthew Gilks,Ian Evatt,Alex Baptiste,Neal Eardley,Stephen Crainey,Charlie Adam,Matt Phillips,David Vaughan,Keith Southern,DJ Campbell,Gary Taylor-Fletcher,Stoke City,Asmir Begovic,Robert Huth,Andy Wilkinson,Marc Wilson,Ryan Shawcross,Glenn Whelan,Rory Delap,Dean Whitehead,Jermaine Pennant,Kenwyne Jones,Jonathan Walters,0,0,0,0,10
2236,Chelsea,Petr Cech,David Luiz,Ashley Cole,John Terry,Branislav Ivanovic,John Obi Mikel,Florent Malouda,Michael Essien,Frank Lampard,Fernando Torres,Didier Drogba,Tottenham Hotspur,Heurelho Gomes,Michael Dawson,Vedran Corluka,Younes Kaboul,William Gallas,Sandro,Gareth Bale,Aaron Lennon,Rafael van der Vaart,Luka Modric,Roman Pavlyuchenko,2,1,1,1,10
2237,Sunderland,Simon Mignolet,Michael Turner,Phil Bardsley,Nedum Onuoha,Steed Malbranque,Lee Cattermole,Sulley Muntari,Jordan Henderson,Ahmed El Mohamady,Jack Colback,Stéphane Sessegnon,Fulham,Mark Schwarzer,Philippe Senderos,Aaron Hughes,Carlos Salcido,Chris Baird,Simon Davies,Steve Sidwell,Danny Murphy,Gaël Kakuta,Bobby Zamora,Eidur Gudjohnsen,0,3,-3,2,10
2238,West Bromwich Albion,Scott Carson,Nicky Shorey,Abdoulaye Méité,Gonzalo Jara,Jonas Olsson,James Morrison,Youssouf Mulumbu,Paul Scharner,Simon Cox,Carlos Vela,Peter Odemwingie,Aston Villa,Brad Friedel,Kyle Walker,Luke Young,Richard Dunne,James Collins,Stewart Downing,Nigel Reo-Coker,Ashley Young,Stiliyan Petrov,Darren Bent,Gabriel Agbonlahor,2,1,1,1,10
2239,Wigan Athletic,Ali Al Habsi,Emmerson Boyce,Antolín Alcaraz,Maynor Figueroa,Gary Caldwell,Mohamed Diamé,Tom Cleverley,Charles N'Zogbia,Ben Watson,James McCarthy,Hugo Rodallega,Everton,Tim Howard,Leighton Baines,Phil Jagielka,Sylvain Distin,Tony Hibbert,Leon Osman,Phil Neville,Tim Cahill,Mikel Arteta,Jack Rodwell,Victor Anichebe,1,1,0,0,10
2240,Arsenal,Wojciech Szczesny,Johan Djourou,Bacary Sagna,Laurent Koscielny,Gaël Clichy,Aaron Ramsey,Samir Nasri,Alexandre Song,Jack Wilshere,Theo Walcott,Robin van Persie,Manchester United,Edwin van der Sar,Rio Ferdinand,Nemanja Vidic,Patrice Evra,Fabio,Anderson,Michael Carrick,Park Ji-Sung,Nani,Chicharito,Wayne Rooney,1,0,1,1,10
2241,Birmingham City,Ben Foster,Liam Ridgewell,Roger Johnson,Stephen Carr,Martin Jiranek,Lee Bowyer,Sebastian Larsson,Craig Gardner,Barry Ferguson,Kevin Phillips,Cameron Jerome,Wolverhampton Wanderers,Wayne Hennessey,Richard Stearman,Kevin Foley,George Elokobi,Jody Craddock,Michael Mancienne,Karl Henry,Jamie O'Hara,Stephen Ward,Matthew Jarvis,Steven Fletcher,1,1,0,0,10
2242,Liverpool,Pepe Reina,Jamie Carragher,Jon Flanagan,Glen Johnson,Martin Skrtel,Lucas Leiva,Raul Meireles,Maxi Rodríguez,Jay Spearing,Dirk Kuyt,Luis Suárez,Newcastle United,Tim Krul,José Enrique,Fabricio Coloccini,Danny Simpson,Mike Williamson,Kevin Nolan,Joey Barton,Jonás Gutiérrez,Cheick Tioté,Peter Løvenkrands,Shola Ameobi,3,0,3,1,10
2243,Manchester City,Joe Hart,Joleon Lescott,Pablo Zabaleta,Vincent Kompany,Aleksandar Kolarov,Adam Johnson,David Silva,Gareth Barry,Nigel de Jong,Yaya Touré,Mario Balotelli,West Ham United,Robert Green,Matt Upson,Lars Jacobsen,Danny Gabbidon,James Tomkins,Jonathan Spector,Luís Boa Morte,Thomas Hitzlsperger,Robbie Keane,Demba Ba,Freddie Sears,2,1,1,1,10
2244,Aston Villa,Brad Friedel,Kyle Walker,Richard Dunne,Luke Young,James Collins,Stewart Downing,Stiliyan Petrov,Ashley Young,Nigel Reo-Coker,Emile Heskey,Darren Bent,Wigan Athletic,Ali Al Habsi,Emmerson Boyce,Antolín Alcaraz,Maynor Figueroa,Gary Caldwell,Charles N'Zogbia,Ben Watson,James McCarthy,Victor Moses,Tom Cleverley,Hugo Rodallega,1,1,0,0,10
2245,Bolton Wanderers,Jussi Jääskeläinen,Grétar Steinsson,Zat Knight,Gary Cahill,Paul Robinson,Matthew Taylor,Fabrice Muamba,Lee Chung-Yong,Kevin Davies,Johan Elmander,Daniel Sturridge,Sunderland,Simon Mignolet,John Mensah,Anton Ferdinand,Phil Bardsley,Nedum Onuoha,Boudewijn Zenden,Steed Malbranque,Jordan Henderson,Ahmed El Mohamady,Jack Colback,Stéphane Sessegnon,1,2,-1,2,10
2246,Everton,Tim Howard,Leighton Baines,Phil Jagielka,Sylvain Distin,John Heitinga,Tony Hibbert,Mikel Arteta,Leon Osman,Phil Neville,Jack Rodwell,Victor Anichebe,Manchester City,Joe Hart,Pablo Zabaleta,Joleon Lescott,Vincent Kompany,Aleksandar Kolarov,David Silva,Patrick Vieira,Nigel de Jong,James Milner,Yaya Touré,Edin Dzeko,2,1,1,1,10
2247,Newcastle United,Tim Krul,Fabricio Coloccini,Danny Simpson,José Enrique,Steven Taylor,Kevin Nolan,Joey Barton,Jonás Gutiérrez,Cheick Tioté,Peter Løvenkrands,Shola Ameobi,Birmingham City,Ben Foster,Liam Ridgewell,Roger Johnson,Stephen Carr,Martin Jiranek,Lee Bowyer,Jean Beausejour,Sebastian Larsson,Barry Ferguson,Keith Fahey,Cameron Jerome,2,1,1,1,10
2248,Tottenham Hotspur,Heurelho Gomes,Michael Dawson,Younes Kaboul,William Gallas,Sandro,Rafael van der Vaart,Gareth Bale,Danny Rose,Luka Modric,Jermain Defoe,Roman Pavlyuchenko,Blackpool,Matthew Gilks,Ian Evatt,Neal Eardley,Alex Baptiste,Stephen Crainey,Charlie Adam,David Vaughan,Keith Southern,DJ Campbell,Gary Taylor-Fletcher,Sergei Kornilenko,1,1,0,0,10
2249,West Ham United,Robert Green,Wayne Bridge,Danny Gabbidon,Manuel da Costa,Lars Jacobsen,Jonathan Spector,Luís Boa Morte,Thomas Hitzlsperger,Carlton Cole,Freddie Sears,Demba Ba,Blackburn Rovers,Paul Robinson,Martin Olsson,Gaël Givet,Christopher Samba,David Junior Hoilett,Brett Emerton,Jermaine Jones,Steven Nzonzi,Morten Gamst Pedersen,Jason Roberts,Mame Biram Diouf,1,1,0,0,10
2250,Manchester United,Edwin van der Sar,Rio Ferdinand,John O'Shea,Nemanja Vidic,Fabio,Michael Carrick,Park Ji-Sung,Ryan Giggs,Luis Antonio Valencia,Chicharito,Wayne Rooney,Chelsea,Petr Cech,David Luiz,Ashley Cole,John Terry,Branislav Ivanovic,Michael Essien,John Obi Mikel,Florent Malouda,Frank Lampard,Salomon Kalou,Didier Drogba,2,1,1,1,10
2251,Stoke City,Asmir Begovic,Robert Huth,Andy Wilkinson,Marc Wilson,Ryan Shawcross,Rory Delap,Glenn Whelan,Dean Whitehead,Jermaine Pennant,Kenwyne Jones,Jonathan Walters,Arsenal,Wojciech Szczesny,Johan Djourou,Kieran Gibbs,Bacary Sagna,Laurent Koscielny,Alexandre Song,Andrey Arshavin,Theo Walcott,Aaron Ramsey,Jack Wilshere,Robin van Persie,3,1,2,1,10
2252,Wolverhampton Wanderers,Wayne Hennessey,Kevin Foley,George Elokobi,Jody Craddock,Michael Mancienne,Stephen Hunt,Jamie O'Hara,Karl Henry,Stephen Ward,Adlène Guédioura,Steven Fletcher,West Bromwich Albion,Scott Carson,Nicky Shorey,Abdoulaye Méité,Gonzalo Jara,Jonas Olsson,James Morrison,Somen Tchoyi,Jerome Thomas,Youssouf Mulumbu,Simon Cox,Peter Odemwingie,3,1,2,1,10
2253,Fulham,Mark Schwarzer,Aaron Hughes,Brede Hangeland,Carlos Salcido,Chris Baird,Clint Dempsey,Steve Sidwell,Danny Murphy,Simon Davies,Eidur Gudjohnsen,Mousa Dembélé,Liverpool,Pepe Reina,Jamie Carragher,Glen Johnson,Martin Skrtel,Jon Flanagan,Lucas Leiva,Maxi Rodríguez,Jay Spearing,Raul Meireles,Dirk Kuyt,Luis Suárez,2,5,-3,2,10
2254,Manchester City,Joe Hart,Pablo Zabaleta,Joleon Lescott,Micah Richards,Vincent Kompany,Adam Johnson,David Silva,James Milner,Nigel de Jong,Yaya Touré,Edin Dzeko,Tottenham Hotspur,Carlo Cudicini,Michael Dawson,William Gallas,Vedran Corluka,Sandro,Wilson Palacios,Rafael van der Vaart,Danny Rose,Aaron Lennon,Luka Modric,Peter Crouch,2,1,1,1,10
2255,Blackburn Rovers,Paul Robinson,Míchel Salgado,Phil Jones,Martin Olsson,Christopher Samba,Gaël Givet,Jermaine Jones,David Junior Hoilett,Brett Emerton,Steven Nzonzi,Jason Roberts,Manchester United,Tomasz Kuszczak,Rio Ferdinand,Nemanja Vidic,Fabio,Jonny Evans,Nani,Michael Carrick,Ryan Giggs,Luis Antonio Valencia,Chicharito,Wayne Rooney,1,1,0,0,10
2256,Blackpool,Matthew Gilks,Ian Evatt,Alex Baptiste,Neal Eardley,Stephen Crainey,David Vaughan,Charlie Adam,Keith Southern,Jason Puncheon,DJ Campbell,Gary Taylor-Fletcher,Bolton Wanderers,Jussi Jääskeläinen,Grétar Steinsson,Zat Knight,Gary Cahill,Paul Robinson,Matthew Taylor,Fabrice Muamba,Lee Chung-Yong,Ricardo Gardner,Kevin Davies,Daniel Sturridge,4,3,1,1,10
2257,Sunderland,Simon Mignolet,Phil Bardsley,John Mensah,Nedum Onuoha,Boudewijn Zenden,Steed Malbranque,Cristian Riveros,Jordan Henderson,Ahmed El Mohamady,Jack Colback,Stéphane Sessegnon,Wolverhampton Wanderers,Wayne Hennessey,Kevin Foley,George Elokobi,Jody Craddock,Michael Mancienne,Stephen Hunt,Karl Henry,Jamie O'Hara,Stephen Ward,Adlène Guédioura,Steven Fletcher,1,3,-2,2,10
2258,West Bromwich Albion,Scott Carson,Nicky Shorey,Gabriel Tamas,Jonas Olsson,Chris Brunt,Steven Reid,Jerome Thomas,Youssouf Mulumbu,Paul Scharner,Simon Cox,Peter Odemwingie,Everton,Tim Howard,Leighton Baines,Phil Jagielka,Sylvain Distin,Tony Hibbert,John Heitinga,Séamus Coleman,Mikel Arteta,Leon Osman,Phil Neville,Victor Anichebe,1,0,1,1,10
2259,Arsenal,Wojciech Szczesny,Sébastien Squillaci,Kieran Gibbs,Bacary Sagna,Thomas Vermaelen,Andrey Arshavin,Aaron Ramsey,Theo Walcott,Alexandre Song,Jack Wilshere,Robin van Persie,Aston Villa,Brad Friedel,Kyle Walker,Richard Dunne,Luke Young,James Collins,Stewart Downing,Ashley Young,Nigel Reo-Coker,Fabian Delph,Stiliyan Petrov,Darren Bent,1,2,-1,2,10
2260,Birmingham City,Ben Foster,Martin Jiranek,Roger Johnson,Stuart Parnaby,Stephen Carr,Sebastian Larsson,Lee Bowyer,Barry Ferguson,David Bentley,Kevin Phillips,Matt Derbyshire,Fulham,Mark Schwarzer,Philippe Senderos,Aaron Hughes,Brede Hangeland,Carlos Salcido,Steve Sidwell,Danny Murphy,Jonathan Greening,Clint Dempsey,Andrew Johnson,Bobby Zamora,0,2,-2,2,10
2261,Chelsea,Petr Cech,Alex,Ashley Cole,John Terry,Branislav Ivanovic,Yossi Benayoun,Ramires,Josh McEachran,Frank Lampard,Nicolas Anelka,Fernando Torres,Newcastle United,Tim Krul,Fabricio Coloccini,Danny Simpson,José Enrique,Steven Taylor,Ryan Taylor,Joey Barton,Shane Ferguson,Jonás Gutiérrez,Peter Løvenkrands,Shola Ameobi,2,2,0,0,10
2262,Liverpool,Pepe Reina,Jamie Carragher,Glen Johnson,Martin Skrtel,Jon Flanagan,Jay Spearing,Lucas Leiva,Maxi Rodríguez,Dirk Kuyt,Andy Carroll,Luis Suárez,Tottenham Hotspur,Carlo Cudicini,Michael Dawson,Ledley King,Younes Kaboul,Sandro,Aaron Lennon,Steven Pienaar,Danny Rose,Rafael van der Vaart,Luka Modric,Peter Crouch,0,2,-2,2,10
2263,Wigan Athletic,Ali Al Habsi,Emmerson Boyce,Antolín Alcaraz,Maynor Figueroa,Gary Caldwell,Tom Cleverley,Ben Watson,James McCarthy,Charles N'Zogbia,Mohamed Diamé,Hugo Rodallega,West Ham United,Robert Green,Jonathan Spector,Wayne Bridge,Danny Gabbidon,James Tomkins,Jordan Spence,Jack Collison,Thomas Hitzlsperger,Zavon Hines,Demba Ba,Frédéric Piquionne,3,2,1,1,10
2264,Manchester City,Joe Hart,Joleon Lescott,Micah Richards,Pablo Zabaleta,Vincent Kompany,Adam Johnson,David Silva,James Milner,Nigel de Jong,Yaya Touré,Carlos Tevez,Stoke City,Thomas Sørensen,Danny Collins,Andy Wilkinson,Marc Wilson,Ryan Shawcross,Danny Pugh,Salif Diao,Dean Whitehead,Glenn Whelan,Jonathan Walters,John Carew,3,0,3,1,10
2265,Aston Villa,Brad Friedel,Kyle Walker,Richard Dunne,Luke Young,James Collins,Stewart Downing,Ashley Young,Nigel Reo-Coker,Stiliyan Petrov,Fabian Delph,Darren Bent,Liverpool,Pepe Reina,Jamie Carragher,Fábio Aurélio,Martin Skrtel,Jon Flanagan,Jay Spearing,Lucas Leiva,Raul Meireles,Dirk Kuyt,Joe Cole,Luis Suárez,1,0,1,1,10
2266,Bolton Wanderers,Jussi Jääskeläinen,Grétar Steinsson,Zat Knight,Gary Cahill,Paul Robinson,Matthew Taylor,Ricardo Gardner,Lee Chung-Yong,Kevin Davies,Johan Elmander,Daniel Sturridge,Manchester City,Joe Hart,Pablo Zabaleta,Joleon Lescott,Dedryck Boyata,Vincent Kompany,Adam Johnson,David Silva,Gareth Barry,Nigel de Jong,Yaya Touré,Carlos Tevez,0,2,-2,2,10
2267,Everton,Tim Howard,Leighton Baines,Phil Jagielka,Sylvain Distin,Tony Hibbert,Séamus Coleman,John Heitinga,Leon Osman,Mikel Arteta,Jack Rodwell,Jermaine Beckford,Chelsea,Petr Cech,Ashley Cole,John Terry,Alex,Branislav Ivanovic,John Obi Mikel,Florent Malouda,Michael Essien,Frank Lampard,Nicolas Anelka,Fernando Torres,1,0,1,1,10
2268,Fulham,Mark Schwarzer,Philippe Senderos,Aaron Hughes,Brede Hangeland,Matthew Briggs,Clint Dempsey,Steve Sidwell,Danny Murphy,Jonathan Greening,Andrew Johnson,Bobby Zamora,Arsenal,Wojciech Szczesny,Kieran Gibbs,Johan Djourou,Bacary Sagna,Thomas Vermaelen,Abou Diaby,Samir Nasri,Aaron Ramsey,Jack Wilshere,Marouane Chamakh,Robin van Persie,2,2,0,0,10
2269,Manchester United,Edwin van der Sar,Nemanja Vidic,Jonny Evans,Patrice Evra,Rafael,Darren Fletcher,Paul Scholes,Anderson,Nani,Park Ji-Sung,Dimitar Berbatov,Blackpool,Matthew Gilks,Ian Evatt,Alex Baptiste,Neal Eardley,Stephen Crainey,Charlie Adam,David Vaughan,Jason Puncheon,Keith Southern,DJ Campbell,Gary Taylor-Fletcher,4,2,2,1,10
2270,Newcastle United,Tim Krul,Fabricio Coloccini,Danny Simpson,José Enrique,Steven Taylor,Ryan Taylor,Joey Barton,Shane Ferguson,Danny Guthrie,Peter Løvenkrands,Shola Ameobi,West Bromwich Albion,Scott Carson,Abdoulaye Méité,Nicky Shorey,Jonas Olsson,James Morrison,Chris Brunt,Steven Reid,Somen Tchoyi,Youssouf Mulumbu,Paul Scharner,Marc-Antoine Fortuné,3,3,0,0,10
2271,Stoke City,Asmir Begovic,Danny Collins,Andy Wilkinson,Marc Wilson,Ryan Shawcross,Rory Delap,Jermaine Pennant,Matthew Etherington,Glenn Whelan,Kenwyne Jones,Jonathan Walters,Wigan Athletic,Ali Al Habsi,Emmerson Boyce,Antolín Alcaraz,Maynor Figueroa,Gary Caldwell,Charles N'Zogbia,Ben Watson,James McCarthy,Mohamed Diamé,Conor Sammon,Hugo Rodallega,0,1,-1,2,10
2272,Tottenham Hotspur,Carlo Cudicini,Michael Dawson,Ledley King,Younes Kaboul,Sandro,Danny Rose,Tom Huddlestone,Aaron Lennon,Luka Modric,Peter Crouch,Jermain Defoe,Birmingham City,Ben Foster,Liam Ridgewell,Roger Johnson,Stephen Carr,Curtis Davies,Jean Beausejour,Craig Gardner,Barry Ferguson,Sebastian Larsson,Keith Fahey,Cameron Jerome,2,1,1,1,10
2273,West Ham United,Robert Green,James Tomkins,Wayne Bridge,Danny Gabbidon,Jordan Spence,Luís Boa Morte,Thomas Hitzlsperger,Jack Collison,Frédéric Piquionne,Zavon Hines,Freddie Sears,Sunderland,Simon Mignolet,Phil Bardsley,Anton Ferdinand,Nedum Onuoha,Boudewijn Zenden,Jordan Henderson,Ahmed El Mohamady,Steed Malbranque,Jack Colback,Stéphane Sessegnon,Asamoah Gyan,0,3,-3,2,10
2274,Blackburn Rovers,Paul Robinson,Grant Hanley,Martin Olsson,Míchel Salgado,Brett Emerton,David Junior Hoilett,Morten Gamst Pedersen,David Dunn,Steven Nzonzi,Mauro Formica,Jason Roberts,Wolverhampton Wanderers,Wayne Hennessey,Richard Stearman,Christophe Berra,Roger Johnson,Karl Henry,Stephen Hunt,Matthew Jarvis,Stephen Ward,Jamie O'Hara,Steven Fletcher,Kevin Doyle,1,2,-1,2,11
2275,Fulham,Mark Schwarzer,Philippe Senderos,Aaron Hughes,Brede Hangeland,John Arne Riise,Clint Dempsey,Damien Duff,Danny Murphy,Dickson Etuhu,Andrew Johnson,Bobby Zamora,Aston Villa,Shay Given,Stephen Warnock,James Collins,Richard Dunne,Luke Young,Fabian Delph,Charles N'Zogbia,Stiliyan Petrov,Gabriel Agbonlahor,Emile Heskey,Darren Bent,0,0,0,0,11
2276,Liverpool,Pepe Reina,Jamie Carragher,José Enrique,Daniel Agger,Jon Flanagan,Lucas Leiva,Stewart Downing,Charlie Adam,Jordan Henderson,Andy Carroll,Luis Suárez,Sunderland,Simon Mignolet,Anton Ferdinand,Phil Bardsley,Wes Brown,Sebastian Larsson,Lee Cattermole,Jack Colback,Ahmed El Mohamady,Kieran Richardson,Stéphane Sessegnon,Asamoah Gyan,1,1,0,0,11
2277,Newcastle United,Tim Krul,Fabricio Coloccini,Danny Simpson,Steven Taylor,Yohan Cabaye,Ryan Taylor,Joey Barton,Jonás Gutiérrez,Cheick Tioté,Shola Ameobi,Demba Ba,Arsenal,Wojciech Szczesny,Kieran Gibbs,Bacary Sagna,Laurent Koscielny,Thomas Vermaelen,Andrey Arshavin,Aaron Ramsey,Tomas Rosicky,Alexandre Song,Gervinho,Robin van Persie,0,0,0,0,11
2278,Queens Park Rangers,Paddy Kenny,Fitz Hall,Danny Gabbidon,Clint Hill,Tommy Smith,Adel Taarabt,Shaun Derry,Alejandro Faurlin,Kieron Dyer,DJ Campbell,Jay Bothroyd,Bolton Wanderers,Jussi Jääskeläinen,Grétar Steinsson,Zat Knight,Gary Cahill,Paul Robinson,Nigel Reo-Coker,Chris Eagles,Fabrice Muamba,Martin Petrov,Kevin Davies,Ivan Klasnic,0,4,-4,2,11
2279,Wigan Athletic,Ali Al Habsi,Emmerson Boyce,Maynor Figueroa,Piscu,Gary Caldwell,Ben Watson,James McCarthy,Jordi Gómez,Victor Moses,Mohamed Diamé,Franco Di Santo,Norwich City,John Ruddy,Russell Martin,Zak Whitbread,Ritchie de Laet,Marc Tierney,Andrew Surman,David Fox,Andrew Crofts,Wes Hoolahan,Grant Holt,Steve Morison,1,1,0,0,11
2280,Stoke City,Asmir Begovic,Robert Huth,Jonathan Woodgate,Marc Wilson,Ryan Shawcross,Jermaine Pennant,Matthew Etherington,Glenn Whelan,Rory Delap,Kenwyne Jones,Jonathan Walters,Chelsea,Petr Cech,Alex,Ashley Cole,John Terry,José Bosingwa,Ramires,John Obi Mikel,Florent Malouda,Frank Lampard,Fernando Torres,Salomon Kalou,0,0,0,0,11
2281,West Bromwich Albion,Ben Foster,Nicky Shorey,Gabriel Tamas,Jonas Olsson,James Morrison,Chris Brunt,Somen Tchoyi,Steven Reid,Youssouf Mulumbu,Paul Scharner,Shane Long,Manchester United,David de Gea,Nemanja Vidic,Fabio,Chris Smalling,Rio Ferdinand,Ashley Young,Anderson,Tom Cleverley,Nani,Danny Welbeck,Wayne Rooney,1,2,-1,2,11
2282,Manchester City,Joe Hart,Joleon Lescott,Micah Richards,Vincent Kompany,Gaël Clichy,Adam Johnson,David Silva,Gareth Barry,Nigel de Jong,Yaya Touré,Edin Dzeko,Swansea City,Michel Vorm,Angel Rangel,Alan Tate,Ashley Williams,Steven Caulker,Nathan Dyer,Leon Britton,Kemy Agustien,Scott Sinclair,Stephen Dobbie,Danny Graham,4,0,4,1,11
2283,Arsenal,Wojciech Szczesny,Carl Jenkinson,Bacary Sagna,Laurent Koscielny,Thomas Vermaelen,Emmanuel Frimpong,Andrey Arshavin,Aaron Ramsey,Samir Nasri,Theo Walcott,Robin van Persie,Liverpool,Pepe Reina,Jamie Carragher,José Enrique,Daniel Agger,Martin Kelly,Dirk Kuyt,Jordan Henderson,Lucas Leiva,Stewart Downing,Charlie Adam,Andy Carroll,0,2,-2,2,11
2284,Aston Villa,Shay Given,Stephen Warnock,James Collins,Richard Dunne,Luke Young,Fabian Delph,Stiliyan Petrov,Charles N'Zogbia,Emile Heskey,Gabriel Agbonlahor,Darren Bent,Blackburn Rovers,Paul Robinson,Ryan Nelsen,Grant Hanley,Martin Olsson,Míchel Salgado,David Junior Hoilett,Morten Gamst Pedersen,Steven Nzonzi,David Dunn,Jason Roberts,David Goodwillie,3,1,2,1,11
