,home_team,hp1,hp2,hp3,hp4,hp5,hp6,hp7,hp8,hp9,hp10,hp11,away_team,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,home_score,away_score,diff_score,game_results,season
4423,Leicester City,Kasper Schmeichel,Robert Huth,Danny Simpson,Christian Fuchs,Wes Morgan,Wilfred Ndidi,Riyad Mahrez,Marc Albrighton,Daniel Drinkwater,Jamie Vardy,Shinji Okazaki,Liverpool,Simon Mignolet,James Milner,Lucas Leiva,Nathaniel Clyne,Joel Matip,Adam Lallana,Emre Can,Georginio Wijnaldum,Philippe Coutinho,Sadio Mané,Roberto Firmino,3,1,2,1,16
4424,Manchester City,Claudio Bravo,Aleksandar Kolarov,Vincent Kompany,Pablo Zabaleta,Nicolás Otamendi,Kevin De Bruyne,Raheem Sterling,Leroy Sané,Fernandinho,Yaya Touré,Sergio Agüero,Manchester United,David de Gea,Matteo Darmian,Daley Blind,Eric Bailly,Luis Antonio Valencia,Michael Carrick,Ander Herrera,Marouane Fellaini,Henrikh Mkhitaryan,Anthony Martial,Marcus Rashford,0,0,0,0,16
4425,Southampton,Fraser Forster,Ryan Bertrand,Jack Stephens,Maya Yoshida,Cédric Soares,Steven Davis,James Ward-Prowse,Oriol Romeu,Dusan Tadic,Nathan Redmond,Manolo Gabbiadini,Arsenal,Petr Cech,Rob Holding,Shkodran Mustafi,Nacho Monreal,Alex Oxlade-Chamberlain,Granit Xhaka,Kieran Gibbs,Aaron Ramsey,Alexis Sánchez,Mesut Özil,Danny Welbeck,0,0,0,0,16
4426,Tottenham Hotspur,Hugo Lloris,Jan Vertonghen,Toby Alderweireld,Eric Dier,Kyle Walker,Ben Davies,Mousa Dembélé,Victor Wanyama,Dele Alli,Harry Kane,Christian Eriksen,Stoke City,Lee Grant,Erik Pieters,Ryan Shawcross,Bruno Martins Indi,Phil Bardsley,Glenn Whelan,Marko Arnautovic,Charlie Adam,Joe Allen,Ramadan Sobhi,Peter Crouch,4,0,4,1,16
4427,Watford,Heurelho Gomes,Younes Kaboul,Daryl Janmaat,Miguel Britos,José Holebas,Tom Cleverley,Etienne Capoue,Valon Behrami,Mauro Zárate,Troy Deeney,M'Baye Niang,West Ham United,Darren Randolph,Aaron Cresswell,José Fonte,Winston Reid,Cheikhou Kouyaté,Manuel Lanzini,Robert Snodgrass,Pedro Obiang,Mark Noble,Sofiane Feghouli,Michail Antonio,1,1,0,0,16
4428,West Bromwich Albion,Ben Foster,Gareth McAuley,Allan-Roméo Nyom,Craig Dawson,Jonny Evans,Darren Fletcher,James Morrison,Jake Livermore,Chris Brunt,Nacer Chadli,Salomón Rondón,AFC Bournemouth,Artur Boruc,Tyrone Mings,Charlie Daniels,Steve Cook,Adam Smith,Andrew Surman,Marc Pugh,Jack Wilshere,Ryan Fraser,Harry Arter,Joshua King,2,1,1,1,16
4429,Leicester City,Kasper Schmeichel,Robert Huth,Christian Fuchs,Danny Simpson,Wes Morgan,Marc Albrighton,Riyad Mahrez,Shinji Okazaki,Daniel Drinkwater,Wilfred Ndidi,Jamie Vardy,Hull City,Eldin Jakupovic,Ahmed El Mohamady,Harry Maguire,Andrew Robertson,Andrea Ranocchia,Sam Clucas,Tom Huddlestone,Kamil Grosicki,Lazar Markovic,Alfred N'Diaye,Oumar Niasse,3,1,2,1,16
4430,Liverpool,Simon Mignolet,James Milner,Nathaniel Clyne,Joel Matip,Ragnar Klavan,Georginio Wijnaldum,Adam Lallana,Emre Can,Philippe Coutinho,Roberto Firmino,Sadio Mané,Arsenal,Petr Cech,Nacho Monreal,Laurent Koscielny,Shkodran Mustafi,Héctor Bellerín,Alex Oxlade-Chamberlain,Francis Coquelin,Granit Xhaka,Alex Iwobi,Danny Welbeck,Olivier Giroud,3,1,2,1,16
4431,Manchester United,David de Gea,Luis Antonio Valencia,Luke Shaw,Phil Jones,Marcos Rojo,Paul Pogba,Juan Mata,Wayne Rooney,Anthony Martial,Michael Carrick,Zlatan Ibrahimovic,AFC Bournemouth,Artur Boruc,Adam Smith,Steve Cook,Tyrone Mings,Charlie Daniels,Andrew Surman,Joshua King,Harry Arter,Marc Pugh,Ryan Fraser,Benik Afobe,1,1,0,0,16
4432,Stoke City,Lee Grant,Ryan Shawcross,Bruno Martins Indi,Erik Pieters,Glen Johnson,Marko Arnautovic,Glenn Whelan,Geoff Cameron,Joe Allen,Ramadan Sobhi,Peter Crouch,Middlesbrough,Víctor Valdés,Daniel Ayala,George Friend,Ben Gibson,Fabio,Grant Leadbitter,Adam Clayton,Marten de Roon,Gastón Ramírez,Adama Traoré,Rudy Gestede,2,0,2,1,16
